ISRC,Title,Artists,Count
"GBAYE7900587","Bring on the Love (Why Can't We Be Friends Again)",Gloria Jones,2
"USIR20200905","Burn Rubber On Me (Why Do You Wanna Hurt Me)",The Gap Band,2
"USPR38005277","Burn Rubber On Me (Why You Wanna Hurt Me)",The Gap Band,2
"USLXJ0905016","But Why",Reba McEntire,2
"GBARL0300669","Don't Ask Me Why",Eurythmics,2
"USRC15803621","Don't Ask Me Why",Elvis Presley,2
"USSM18000289","Don't Ask Me Why",Billy Joel,2
"USSM19908681","Don't Ask Me Why (I'm Going To Texas)",Asleep At The Wheel,2
"USUM70700329","The Take Over, The Breaks Over",Fall Out Boy,2
"USRC11403043","Ayo","Chris Brown/Tyga",2
"QM7282022872","Dynamite",BTS,2
"USCA28800762","All Too Soon",Duke Ellington,2
"USSM15100024","Always Late (With Your Kisses)",Lefty Frizzell,2
"ES58A1701198","Amorcito Corazon",Los Panchos,2
"#","As Time Goes By",from Casablanca,2
"USNLR1300066","As Time Goes By",Dooley Wilson,2
"UST1C0100443","As Time Goes By",Casablanca,2
"USWWW0124162","At Last",Glenn Miller Orchestra,2
"USNLR1300009","At the Bazaar",Max Steiner,2
"#","Begin The Beguine",Standard,2
"USBB19700689","Begin the Beguine",Artie Shaw and His Orchestra,2
"USAT29800477","(Everything I Do) I Do It for You",Brandy,1
"TCACT1626721","(Everything I Do) I Do It for You",Grace Grundy,1
"TCABA1155897","Everything I Do",Timeflies,1
"USBN29200168","Everything I Do Gonna Be Funky (From Now On)",Lou Donaldson,1
"NLAX70929928","(Everything I Do) I Do It For You",Francis Goya,1
"USRC12002766","Mountains","Lost Kings/MASN",1
"USSM12002536","3AM",Russ,1
"DEF058202560","Adagio for Strings, Op.11","Samuel Barber/Leonard Bernstein/Los Angeles Philharmonic",1
"GBAJE0415027","1 of the 2",The Damned,1
"GBAFL0900011","Actor Out of Work",St. Vincent,1
"GBAAA7200113","A Book At Bedtime",Monty Python,1
"USJI10300294","12",Insane Clown Posse,1
"USSM19400811","213",Slayer,1
"NLA321400494","(Sic)",Slipknot,1
"NZSM00300407","Arithmetic",Brooke Fraser Brooke Fraser Brooke Fraser,1
"USYFZ1545007","22 Faces",Periphery,1
"USNO11400196","10 Lovers",The Black Keys,1
"USDM31400016","#SELFIE",The Chainsmokers,1
"USNPD0601064","#1 Crush",Garbage,1
"GBUM71204300","(All Along The) Watchtower - Instrumental",Devlin,1
"GBBFF9600467","(Everybody's Got To Learn Sometime) I Need Your Loving",Baby D,1
"FR6V80223770","Everybody's Gotta Learn Sometime",Army Of Lovers,1
